Assessment Name,URL,Test Types,Adaptive,Remote,Description,Job Levels,Languages,Assessment Length,Cleaned Description,Text for Embedding
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,"Simulations, Biodata & Situational Judgement, Competencies, Personality & Behavior",False,False,The Sales & Service 8.0 JFA is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers.,"Entry-Level,","English International, English (USA),",31,the sales & service 8.0 jfa is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers.,"Contact Center Sales & Service 8.0. the sales & service 8.0 jfa is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers.. Duration: 31 mins. Test Type: Simulations, Biodata & Situational Judgement, Competencies, Personality & Behavior"
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",False,False,"The Contact Center - Team Lead/Coach solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor.","Front Line Manager, Professional Individual Contributor, Supervisor,","English (USA),",45,"the contact center - team lead/coach solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, coach, first line supervisor, processing supervisor, call center supervisor, and customer service supervisor.","Contact Center Team Lead/Coach - Short Form. the contact center - team lead/coach solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, coach, first line supervisor, processing supervisor, call center supervisor, and customer service supervisor.. Duration: 45 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",False,False,"This solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. The candidate answers multiple choice questions as well as questions in a customer call simulation environment. The solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. In addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness.","Entry-Level,","English International,",39,"this solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. the candidate answers multiple choice questions as well as questions in a customer call simulation environment. the solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. in addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness.","Contact Centre Agent Solution - UK. this solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. the candidate answers multiple choice questions as well as questions in a customer call simulation environment. the solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. in addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness.. Duration: 39 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",False,False,"The Customer Service Representative Solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent.","Entry-Level,","English (USA), English International,",42,"the customer service representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. potential job titles that use this solution are: account service representative, account representative, customer service representative, and customer service agent.","Customer Service - Short Form. the customer service representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. potential job titles that use this solution are: account service representative, account representative, customer service representative, and customer service agent.. Duration: 42 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",False,False,"The Customer Service Representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent.","Entry-Level,","English International,",42,"the customer service representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. potential job titles that use this solution are: account service representative, account representative, customer service representative, and customer service agent.","Customer Service - Short Form - UK. the customer service representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. potential job titles that use this solution are: account service representative, account representative, customer service representative, and customer service agent.. Duration: 42 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",False,False,"The Customer Service with Sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and services. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; selling products and services; responding positively to difficult customers; adding new goods and services to existing accounts; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Sales Representative.","Entry-Level,","English (USA),",44,"the customer service with sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and services. sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; selling products and services; responding positively to difficult customers; adding new goods and services to existing accounts; providing information on products and/or services. potential job titles that use this solution are: account service representative, account representative, customer service representative, and sales representative.","Customer Service with Sales - Short Form. the customer service with sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and services. sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; selling products and services; responding positively to difficult customers; adding new goods and services to existing accounts; providing information on products and/or services. potential job titles that use this solution are: account service representative, account representative, customer service representative, and sales representative.. Duration: 44 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",False,False,"The Director solution is intended for use with senior level positions responsible for the planning, directing, or coordinating key business activities and operations of companies. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources. Potential job titles that use this solution are: Director, Regional Director, and Director of Operations.","Director,","English (USA),",69,"the director solution is intended for use with senior level positions responsible for the planning, directing, or coordinating key business activities and operations of companies. duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources. potential job titles that use this solution are: director, regional director, and director of operations.","Director - Short Form. the director solution is intended for use with senior level positions responsible for the planning, directing, or coordinating key business activities and operations of companies. duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources. potential job titles that use this solution are: director, regional director, and director of operations.. Duration: 69 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,"Personality & Behavior, Simulations, Ability & Aptitude, Biodata & Situational Judgement",False,False,"The Claims/Operations Supervisor solution is for entry-level management positions that involve supervising hourly employees. Sample tasks for this job include, but are not limited to: planning and preapring work schedules; assigning employees to specific dutites; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor, Claims Supervisor, Operations Supervisor, and Customer Service Supervisor. Multiple configurations of this solution are available.","Manager,","English (USA),",48,"the claims/operations supervisor solution is for entry-level management positions that involve supervising hourly employees. sample tasks for this job include, but are not limited to: planning and preapring work schedules; assigning employees to specific dutites; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, coach, first line supervisor, claims supervisor, operations supervisor, and customer service supervisor. multiple configurations of this solution are available.","Claims/Operations Supervisor Solution. the claims/operations supervisor solution is for entry-level management positions that involve supervising hourly employees. sample tasks for this job include, but are not limited to: planning and preapring work schedules; assigning employees to specific dutites; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, coach, first line supervisor, claims supervisor, operations supervisor, and customer service supervisor. multiple configurations of this solution are available.. Duration: 48 mins. Test Type: Personality & Behavior, Simulations, Ability & Aptitude, Biodata & Situational Judgement"
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,"Ability & Aptitude, Biodata & Situational Judgement, Competencies, Personality & Behavior, Simulations",False,False,"The Contact Center + 8.0 - Customer Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles where the main focus is customer service. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service in entry-level contact center roles.","Entry-Level,","English (USA), English International, French, German, Latin American Spanish, Chinese Simplified, Portuguese (Brazil), Japanese,",41,"the contact center + 8.0 - customer service job focused assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles where the main focus is customer service. this jfa includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. together, these assessments capture the ability to provide exceptional customer service in entry-level contact center roles.","Contact Center Customer Service + 8.0. the contact center + 8.0 - customer service job focused assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles where the main focus is customer service. this jfa includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. together, these assessments capture the ability to provide exceptional customer service in entry-level contact center roles.. Duration: 41 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Competencies, Personality & Behavior, Simulations"
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,"Simulations, Biodata & Situational Judgement, Competencies, Personality & Behavior",False,False,The Customer Service 8.0 JFA is designed for entry-level positions in a contact center environment where the main focus is customer service.,"Entry-Level,","English (USA), German, Portuguese (Brazil), English International, Latin American Spanish, French (Canada), French,",31,the customer service 8.0 jfa is designed for entry-level positions in a contact center environment where the main focus is customer service.,"Contact Center Customer Service 8.0. the customer service 8.0 jfa is designed for entry-level positions in a contact center environment where the main focus is customer service.. Duration: 31 mins. Test Type: Simulations, Biodata & Situational Judgement, Competencies, Personality & Behavior"
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",False,False,"The Contact Center - Manager solution is for mid to upper-level contact center managerial positions. Sample tasks for these jobs include, but are not limited to: supervising and coordinating the activities of subordinates; interacting day-to-day with subordinates; and training employees. Potential job titles that use this solution are: Contact Center Team Leader, First Line Supervisor, and Contact Center Manager.","Manager, Supervisor, Front Line Manager,","English (USA),",50,"the contact center - manager solution is for mid to upper-level contact center managerial positions. sample tasks for these jobs include, but are not limited to: supervising and coordinating the activities of subordinates; interacting day-to-day with subordinates; and training employees. potential job titles that use this solution are: contact center team leader, first line supervisor, and contact center manager.","Contact Center Manager - Short Form. the contact center - manager solution is for mid to upper-level contact center managerial positions. sample tasks for these jobs include, but are not limited to: supervising and coordinating the activities of subordinates; interacting day-to-day with subordinates; and training employees. potential job titles that use this solution are: contact center team leader, first line supervisor, and contact center manager.. Duration: 50 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,"Personality & Behavior, Biodata & Situational Judgement, Competencies, Ability & Aptitude, Simulations",False,False,"The Contact Center + 8.0 - Sales & Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles that involve sales-related behaviors such as recommending products or services and retaining customers. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service and drive sales in entry-level contact center roles.","Entry-Level,","English International, English (USA),",41,"the contact center + 8.0 - sales & service job focused assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles that involve sales-related behaviors such as recommending products or services and retaining customers. this jfa includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. together, these assessments capture the ability to provide exceptional customer service and drive sales in entry-level contact center roles.","Contact Center Sales & Service + 8.0. the contact center + 8.0 - sales & service job focused assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles that involve sales-related behaviors such as recommending products or services and retaining customers. this jfa includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. together, these assessments capture the ability to provide exceptional customer service and drive sales in entry-level contact center roles.. Duration: 41 mins. Test Type: Personality & Behavior, Biodata & Situational Judgement, Competencies, Ability & Aptitude, Simulations"
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,"Simulations, Biodata & Situational Judgement, Competencies, Personality & Behavior",False,False,The Sales & Service 8.0 JFA is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers.,"Entry-Level,","English International, English (USA),",31,the sales & service 8.0 jfa is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers.,"Contact Center Sales & Service 8.0. the sales & service 8.0 jfa is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers.. Duration: 31 mins. Test Type: Simulations, Biodata & Situational Judgement, Competencies, Personality & Behavior"
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",False,False,"The Contact Center - Team Lead/Coach solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor.","Front Line Manager, Professional Individual Contributor, Supervisor,","English (USA),",45,"the contact center - team lead/coach solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, coach, first line supervisor, processing supervisor, call center supervisor, and customer service supervisor.","Contact Center Team Lead/Coach - Short Form. the contact center - team lead/coach solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, coach, first line supervisor, processing supervisor, call center supervisor, and customer service supervisor.. Duration: 45 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",False,False,"This solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. The candidate answers multiple choice questions as well as questions in a customer call simulation environment. The solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. In addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness.","Entry-Level,","English International,",39,"this solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. the candidate answers multiple choice questions as well as questions in a customer call simulation environment. the solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. in addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness.","Contact Centre Agent Solution - UK. this solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. the candidate answers multiple choice questions as well as questions in a customer call simulation environment. the solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. in addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness.. Duration: 39 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",False,False,"The Customer Service Representative Solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent.","Entry-Level,","English (USA), English International,",42,"the customer service representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. potential job titles that use this solution are: account service representative, account representative, customer service representative, and customer service agent.","Customer Service - Short Form. the customer service representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. potential job titles that use this solution are: account service representative, account representative, customer service representative, and customer service agent.. Duration: 42 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",False,False,"The Customer Service Representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent.","Entry-Level,","English International,",42,"the customer service representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. potential job titles that use this solution are: account service representative, account representative, customer service representative, and customer service agent.","Customer Service - Short Form - UK. the customer service representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. potential job titles that use this solution are: account service representative, account representative, customer service representative, and customer service agent.. Duration: 42 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",False,False,"The Customer Service with Sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and services. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; selling products and services; responding positively to difficult customers; adding new goods and services to existing accounts; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Sales Representative.","Entry-Level,","English (USA),",44,"the customer service with sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and services. sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; selling products and services; responding positively to difficult customers; adding new goods and services to existing accounts; providing information on products and/or services. potential job titles that use this solution are: account service representative, account representative, customer service representative, and sales representative.","Customer Service with Sales - Short Form. the customer service with sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and services. sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; selling products and services; responding positively to difficult customers; adding new goods and services to existing accounts; providing information on products and/or services. potential job titles that use this solution are: account service representative, account representative, customer service representative, and sales representative.. Duration: 44 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",False,False,"The Director solution is intended for use with senior level positions responsible for the planning, directing, or coordinating key business activities and operations of companies. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources. Potential job titles that use this solution are: Director, Regional Director, and Director of Operations.","Director,","English (USA),",69,"the director solution is intended for use with senior level positions responsible for the planning, directing, or coordinating key business activities and operations of companies. duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources. potential job titles that use this solution are: director, regional director, and director of operations.","Director - Short Form. the director solution is intended for use with senior level positions responsible for the planning, directing, or coordinating key business activities and operations of companies. duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources. potential job titles that use this solution are: director, regional director, and director of operations.. Duration: 69 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Written English v1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,Knowledge & Skills,False,False,"The Written English test measures knowledge of US English grammar and English reading comprehension. It is designed for those with English as a second language and covers the following topics: Articles, Comparisons, Conjunctions, General Questions, Misused Words, Nouns, Parallel Structure, Prepositions, Pronouns, Specific Questions, and Verbs.","Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,","English (USA), English International,",30,"the written english test measures knowledge of us english grammar and english reading comprehension. it is designed for those with english as a second language and covers the following topics: articles, comparisons, conjunctions, general questions, misused words, nouns, parallel structure, prepositions, pronouns, specific questions, and verbs.","Written English v1. the written english test measures knowledge of us english grammar and english reading comprehension. it is designed for those with english as a second language and covers the following topics: articles, comparisons, conjunctions, general questions, misused words, nouns, parallel structure, prepositions, pronouns, specific questions, and verbs.. Duration: 30 mins. Test Type: Knowledge & Skills"
Written Spanish,https://www.shl.com/solutions/products/product-catalog/view/written-spanish/,Knowledge & Skills,False,False,"This test measures knowledge of Spanish grammar and Spanish reading comprehension skills. Designed primarily for individuals where Spanish is their second language, this test covers the following topics: Adjectives, Adverbs, Conjunctions, Nouns, Prepositions, Pronouns, Verbs, and Reading Comprehension.","Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,","Latin American Spanish,",22,"this test measures knowledge of spanish grammar and spanish reading comprehension skills. designed primarily for individuals where spanish is their second language, this test covers the following topics: adjectives, adverbs, conjunctions, nouns, prepositions, pronouns, verbs, and reading comprehension.","Written Spanish. this test measures knowledge of spanish grammar and spanish reading comprehension skills. designed primarily for individuals where spanish is their second language, this test covers the following topics: adjectives, adverbs, conjunctions, nouns, prepositions, pronouns, verbs, and reading comprehension.. Duration: 22 mins. Test Type: Knowledge & Skills"
Zabbix (New),https://www.shl.com/solutions/products/product-catalog/view/zabbix-new/,Knowledge & Skills,False,False,"Multi-choice test that measures the knowledge of Zabbix architecture, data handling, monitoring and administration.","Mid-Professional, Professional Individual Contributor,","English (USA),",9,"multi-choice test that measures the knowledge of zabbix architecture, data handling, monitoring and administration.","Zabbix (New). multi-choice test that measures the knowledge of zabbix architecture, data handling, monitoring and administration.. Duration: 9 mins. Test Type: Knowledge & Skills"
360 Digital Report,https://www.shl.com/solutions/products/product-catalog/view/360-digital-report/,Development & 360,False,False,"Introducing the new 360 Digital Report from SHL! Our latest offering revolutionizes the reporting experience for our 360 products, catering to the modern user's needs for enhanced usability and actionable insights. With a sleek, interactive interface, this report provides a exploration of feedback data, focusing on user development and comprehensive evaluation. Users can now enjoy a visually engaging experience, with the capability to download the report in PDF format for offline access. Upgrade your reporting experience today with SHL's innovative 360 Digital Report!","Director, Manager, Entry-Level, Executive, Front Line Manager, General Population, Graduate,",,Unknown,"introducing the new 360 digital report from shl! our latest offering revolutionizes the reporting experience for our 360 products, catering to the modern user's needs for enhanced usability and actionable insights. with a sleek, interactive interface, this report provides a exploration of feedback data, focusing on user development and comprehensive evaluation. users can now enjoy a visually engaging experience, with the capability to download the report in pdf format for offline access. upgrade your reporting experience today with shl's innovative 360 digital report!","360 Digital Report. introducing the new 360 digital report from shl! our latest offering revolutionizes the reporting experience for our 360 products, catering to the modern user's needs for enhanced usability and actionable insights. with a sleek, interactive interface, this report provides a exploration of feedback data, focusing on user development and comprehensive evaluation. users can now enjoy a visually engaging experience, with the capability to download the report in pdf format for offline access. upgrade your reporting experience today with shl's innovative 360 digital report!. Duration: Unknown mins. Test Type: Development & 360"
